FunctionID_f,AvgServiceTimeMillisec,Invocations30Days
766,68087,1
767,751,4
768,20764,1
769,3167,1
770,60,1
771,1,288
772,53175,1
773,1067,24
774,106,7225
775,2,17236
776,205,14
777,128,480
778,127,2
779,104,1339
780,1814,480
781,1068,2
782,140,1440
783,946,108
784,1278,1
785,15,1
786,1659,1
787,3241,1
788,1,7
789,175,340
790,508,1
791,4950,1
792,15,1
793,77880,1
794,1049,1
795,2632,310
796,108,4
797,69289,24
798,3,2892
799,1325,48
800,6709,104
801,977,60
802,1794,4612
803,1609,1
804,4130,1
805,1360,1
806,1352,288
807,133,1
808,357,720
809,3611,1
810,16202,48
811,1,1
812,439,9
813,114,1
814,31,1
815,12838,4
816,1242,2
817,374,12
818,237,326
819,1,288
820,322,288
821,1103,2
822,15,1
823,1224,2
824,402,288
825,6762,1
826,107,2
827,2075,2575
828,1849,469
829,2687,1
830,21118,24
831,162,1440
832,161,1
833,49263,24
834,163,2
835,100,12
836,2861,22
837,1145,17
838,186,96
839,10080,5758
840,1,1440
841,540027,160
842,1300,2
843,1187,1
844,1172,2
845,100,52
846,8953,93
847,111,1440
848,646,132
849,1981,2
850,1,1619
851,1056,127
852,1794,1
853,1404,1
854,1113,3
855,104,998
856,426,1440
857,1233,1
858,10375,2
859,1508,1400
860,253,288
861,20684,1
862,485,1
863,1203,1
864,157,2878
865,1,360
866,10111,1
867,81251,359
868,125,3
869,13052,1
870,1169,658
871,99,288
872,160,1440
873,1139,1
874,1272,2
875,15456,37
876,1383,1
877,124,105
878,31,5
879,146,36378
880,7074,1
881,102,1851
882,1210,1439
883,1,1
884,197,306
885,63995,1
886,3846,1
887,89060,24
888,387,96
889,362,1440
890,203,281
891,1221,109
892,51635,152
893,10578,11
894,12891,1
895,10917,1
896,1084,96
897,12,1
898,2744,1
899,2307,584
900,100,22604
901,621,1439
902,1000,165
903,10036,191
904,6307,12
905,9562,1
906,4200,5
907,1267,1
908,1,1440
909,11750,2
910,1,360
911,1050,1
912,392,859
913,2155,4
914,593,989
915,15,288
916,1,3304
917,2713,72
918,137,288
919,265,1
920,527,32
921,931,24
922,1,1440
923,30,1
924,30208,1440
925,1629,1
926,1480,18
927,3752,12
928,12603,8
929,135,288
930,586,290
931,59051,48
932,1021,2
933,1,1445
934,10,332
935,128,96
936,354,95
937,64,288
938,2363,2
939,48,23791
940,5710,3
941,15,1
942,1,1
943,124,71
944,1572,57
945,1536,7048
946,1002,1
947,2013,1
948,13,1
949,1133,1
950,1070,12
951,9190,144
952,1757,1
953,180,480
954,156998,2
955,115,48
956,12203,594
957,2080,1
958,183,288
959,2288,6
960,130,11
961,6,96
962,21267,302
963,1140,1
964,296,1438
965,1266,1
966,8,18
967,2874,3
968,1459,2
969,10,3
970,1426,1
971,300062,784
972,437,1
973,1296,1
974,233445,1
975,176,288
976,159710,29
977,108,1
978,1008,1
979,1069,144
980,10822,1
981,441,1440
982,1,1
983,384,289
984,16463,1
985,11035,40
986,2898,4
987,1175,2
988,152,288
989,10643,31
990,355,96
991,142,1
992,247,480
993,3051,1
994,12,665
995,20999,1
996,62,288
997,150,4
998,140,1440
999,15,565
1000,143,288
1001,1252,40
1002,1050,1
1003,152,720
1004,157794,15
1005,1,1
1006,361,4674
1007,193,1440
1008,34,7
1009,396,3
1010,15,1
1011,28,25866
1012,1455,5
1013,1342,48
1014,100485,16
1015,660,1
1016,1,1441
1017,1963,1438
1018,16777,16
1019,1848,1
1020,234,1
1021,30,129
1022,1081,2
1023,3010,24
1024,1497,44
1025,197,103
1026,127,1
1027,1392,1
1028,1,720
1029,503,1
1030,19,1430
1031,110,63
1032,1780,20
1033,201,984
1034,1,1
1035,2644,29
1036,390,1
1037,3,288
1038,1286,96
1039,15673,24
1040,5,71
1041,1635,15
1042,1105,4
1043,142,288
1044,482,8
1045,1098,24
1046,100,1
1047,778,3
1048,203,1
1049,565,2
1050,1,1200
1051,1285,8
1052,4666,1
1053,599,17215
1054,1400,3
1055,1371,1
1056,2052,12
1057,1,1
1058,4796,972
1059,261,67
1060,448,1440
1061,10480,92
1062,1012,1
1063,862,24
1064,13898,67
1065,24,3
1066,10110,2
1067,5283,1440
1068,1272,1
1069,13,2
1070,1352,143
1071,3056,28
1072,1153,288
1073,17,1
1074,179,70
1075,6,3
1076,12559,17
1077,1039,154
